Rank,Team,AdjPace
1,Cal Poly,76.3
2,Cal State Northridge,75.5
3,Cal State Fullerton,75.1
4,IU Indianapolis,75.1
5,Oklahoma State,74.3
6,Alabama,74.2
7,Kansas State,73.9
8,Georgia,73.7
9,Charleston Southern,73.2
10,William & Mary,73.2
11,Lindenwood,73.0
12,South Florida,73.0
13,Cal State Bakersfield,72.8
14,Arkansas State,72.7
15,Arkansas,72.6
16,Hawaii,72.4
17,Prairie View A&M,72.4
18,Radford,72.3
19,North Florida,72.2
20,Providence,72.2
21,Sacramento State,72.2
22,Texas A&M,72.2
23,Kent State,72.1
24,Murray State,72.1
25,Saint Louis,72.1
26,Florida State,71.8
27,Florida,71.7
28,Kennesaw State,71.6
29,Michigan,71.6
30,Mississippi State,71.6
31,South Dakota,71.6
32,Winthrop,71.6
33,Georgia Tech,71.5
34,Memphis,71.5
35,Southern,71.4
36,Cleveland State,71.3
37,FIU,71.3
38,Oakland,71.3
39,UC Davis,71.3
40,UMKC,71.3
41,High Point,71.2
42,UC Riverside,71.2
43,UMass,71.2
44,Alabama State,71.1
45,Arizona,71.1
46,Arkansas-Pine Bluff,71.1
47,Jackson State,71.1
48,Louisville,71.1
49,Montana,71.1
50,Xavier,71.1
51,Akron,71.0
52,Cornell,71.0
53,Northern Kentucky,71.0
54,Southern Utah,71.0
55,USC,71.0
56,Western Kentucky,71.0
57,Bethune-Cookman,70.8
58,Gardner-Webb,70.8
59,Georgia Southern,70.8
60,Long Beach State,70.8
61,Morgan State,70.8
62,Saint John's,70.8
63,Tennessee State,70.8
64,Texas Southern,70.8
65,UC Irvine,70.8
66,ULM,70.8
67,Miami (OH),70.7
68,Arizona State,70.6
69,Bowling Green,70.6
70,New Mexico,70.6
71,Old Dominion,70.6
72,Sam Houston State,70.6
73,UCF,70.6
74,UNLV,70.6
75,Marshall,70.5
76,Ohio,70.5
77,Queens,70.5
78,Tarleton State,70.5
79,BYU,70.4
80,Lipscomb,70.4
81,Vanderbilt,70.4
82,Florida A&M,70.3
83,SMU,70.3
84,UAB,70.3
85,Austin Peay,70.2
86,FAU,70.2
87,George Washington,70.2
88,Santa Clara,70.2
