Rank,Team,AdjPace
1,Oklahoma,81.4
2,Troy,80.3
3,North Carolina Central,79.3
4,LSU,79.2
5,Arkansas State,79.1
6,Indiana State,79.0
7,Mississippi Valley State,77.9
8,New Orleans,77.4
9,Murray State,76.8
10,Florida State,76.7
11,Jacksonville,76.7
12,Memphis,76.6
13,Longwood,76.5
14,Oral Roberts,76.5
15,Arkansas,76.4
16,Texas Southern,76.4
17,Idaho,76.3
18,Ohio,76.3
19,Ohio State,76.3
20,Penn State,76.1
21,Valparaiso,76.1
22,Santa Clara,75.9
23,Ball State,75.8
24,Coastal Carolina,75.8
25,Prairie View A&M,75.8
26,Coppin State,75.7
27,Montana State,75.7
28,Niagara,75.7
29,Tennessee,75.7
30,Stephen F. Austin,75.6
31,Arizona,75.5
32,Northern Arizona,75.3
33,Alabama State,75.2
34,Cal State Northridge,75.2
35,FIU,75.2
36,Michigan,75.2
37,Houston,75.1
38,California Baptist,75.0
39,Cal State Fullerton,74.9
40,Grambling State,74.8
41,Tennessee State,74.8
42,San Francisco,74.7
43,Akron,74.6
44,Southern Miss,74.6
45,Portland,74.4
46,Chicago State,74.2
47,Eastern Washington,74.2
48,Tulsa,74.2
49,Florida,74.1
50,Old Dominion,74.1
51,South Carolina,74.1
52,UTA,74.1
53,Missouri,74.0
54,ULM,74.0
55,South Carolina State,73.9
56,Connecticut,73.8
57,Louisiana,73.8
58,Vanderbilt,73.8
59,Iowa State,73.7
60,Michigan State,73.7
61,Buffalo,73.6
62,Maryland,73.5
63,Siena,73.5
64,SMU,73.5
65,Texas State,73.5
66,Winthrop,73.5
67,Mississippi State,73.4
68,North Texas,73.4
69,Notre Dame,73.4
70,Southern Illinois,73.4
71,Bowling Green,73.3
72,Evansville,73.3
73,Georgia Tech,73.3
74,Seattle University,73.3
75,Utah Tech,73.3
76,BYU,73.2
77,Drake,73.2
78,Georgia State,73.2
79,Sam Houston State,73.2
80,Texas,73.2
81,Maryland Eastern Shore,73.1
82,North Carolina State,73.1
83,Temple,73.1
84,Texas A&M,73.1
85,Kent State,73.0
86,Norfolk State,73.0
87,Saint Louis,73.0
88,San Jose State,73.0
89,Virginia Tech,73.0
90,DePaul,72.9
91,High Point,72.9
92,West Georgia,72.9
93,South Alabama,72.8
94,Cal State Bakersfield,72.7
95,Cincinnati,72.7
96,Florida A&M,72.7
97,Weber State,72.7
98,IU Indianapolis,72.6
99,Central Michigan,72.5
100,Oklahoma State,72.5
101,Purdue Fort Wayne,72.5
102,West Virginia,72.5
103,Duke,72.4
104,Nebraska,72.4
105,North Florida,72.4
106,Oregon,72.4
107,Tulane,72.4
108,Detroit,72.3
109,Grand Canyon,72.3
110,Syracuse,72.3
111,Furman,72.2
112,James Madison,72.2
113,Portland State,72.2
114,Southeast Missouri,72.2
115,UC San Diego,72.2
116,UNC Asheville,72.2
117,USC,72.2
118,Baylor,72.1
119,North Dakota,72.1
120,Pepperdine,72.1
121,Radford,72.1
122,Arkansas-Pine Bluff,72.0
123,Belmont,72.0
124,Duquesne,72.0
125,Kansas State,72.0
126,New Mexico State,72.0
127,South Florida,72.0
128,Howard,71.9
129,Merrimack,71.9
130,Missouri State,71.9
131,Northern Kentucky,71.9
132,Pittsburgh,71.9
133,Utah Valley,71.9
134,East Carolina,71.8
135,Iowa,71.8
136,La Salle,71.8
137,Southern,71.8
138,Boise State,71.7
139,Boston College,71.7
140,FAU,71.7
141,Queens,71.7
142,Eastern Kentucky,71.6
143,Louisville,71.6
144,Presbyterian College,71.6
145,Arizona State,71.5
146,Illinois,71.5
147,Southern Utah,71.5
148,UAB,71.5
149,Cal Poly,71.4
150,Charleston Southern,71.4
151,Eastern Michigan,71.4
152,Georgia,71.4
153,Ole Miss,71.4
154,UTEP,71.4
155,Long Island,71.3
156,Saint Francis (PA),71.3
157,Tarleton State,71.3
158,Delaware State,71.2
159,Idaho State,71.2
160,East Texas A&M,71.1
161,Texas Tech,71.1
162,Villanova,71.1
163,Bellarmine,71.0
164,Central Connecticut,71.0
165,Mount Saint Mary's,71.0
166,Nicholls,71.0
167,Northwestern,71.0
168,Rice,71.0
169,Bradley,70.9
170,Kennesaw State,70.9
171,Miami (FL),70.9
172,Purdue,70.8
173,Towson,70.8
174,Delaware,70.7
175,Toledo,70.7
176,UCF,70.7
177,Wichita State,70.7
178,Morehead State,70.6
179,Northern Iowa,70.6
180,Colorado,70.5
181,Fresno State,70.5
182,Gonzaga,70.5
183,Indiana,70.5
184,Lipscomb,70.5
