date,player,tm,game,prop,line,rec,book,odds,ev,rank,in_top10,in_ev25,actual,result,units,real_odds
20260509,Bridget Carleton,POR,CHI @ POR,Points,13.5,UNDER,,-110,68.6,1,True,True,13,WIN,0.9091,False
20260509,Maddy Siegrist,DAL,DAL @ IND,Points,12.5,OVER,,-110,37.0,2,True,True,7,LOSS,-1.0,False
20260509,Alanna Smith,DAL,DAL @ IND,Rebounds,5.5,UNDER,,-110,35.8,3,True,True,3,WIN,0.9091,False
20260509,Jackie Young,LV,PHX @ LV,Rebounds,4.5,OVER,,-110,32.8,4,True,True,6,WIN,0.9091,False
20260509,Angel Reese,ATL,ATL @ MIN,Points,13.5,OVER,,-110,29.5,5,True,True,11,LOSS,-1.0,False
20260509,DeWanna Bonner,PHX,PHX @ LV,Rebounds,5.5,UNDER,,-110,28.5,6,True,True,7,LOSS,-1.0,False
20260509,Chelsea Gray,LV,PHX @ LV,Points,10.5,OVER,,-110,27.2,7,True,True,4,LOSS,-1.0,False
20260509,Allisha Gray,ATL,ATL @ MIN,Rebounds,4.5,UNDER,,-110,25.4,8,True,True,8,LOSS,-1.0,False
20260509,Kahleah Copper,PHX,PHX @ LV,Points,18.5,UNDER,,-110,25.0,9,True,False,13,WIN,0.9091,False
20260509,Bridget Carleton,POR,CHI @ POR,Rebounds,4.5,UNDER,,-110,24.9,10,True,False,1,WIN,0.9091,False
20260510,Flau'jae Johnson,SEA,SEA @ CON,Rebounds,3.5,UNDER,,-110,110.0,1,True,True,6,LOSS,-1.0,False
20260510,Jovana Nogic,PHX,PHX @ GS,Points,8.5,OVER,,-110,100.0,2,True,True,16,WIN,0.9091,False
20260510,Georgia Amoore,WSH,NY @ WSH,Points,8.5,UNDER,,-110,100.0,3,True,True,7,WIN,0.9091,False
20260510,Flau'jae Johnson,SEA,SEA @ CON,Points,13.5,OVER,,-110,80.0,4,True,True,16,WIN,0.9091,False
20260510,Betnijah Laney-Hamilton,NY,NY @ WSH,Points,11.5,UNDER,,-110,80.0,5,True,True,3,WIN,0.9091,False
20260510,Natasha Mack,PHX,PHX @ GS,Rebounds,8.5,UNDER,,-110,75.0,6,True,True,2,WIN,0.9091,False
