ref,games,avg_total,avg_fouls,avg_fta
Biniam Maru,2,246.5,31.5,41.0
Simone Jelks,48,234.5,36.9,43.9
J.B. DeRosa,36,234.2,39.1,43.8
Matt Myers,54,233.3,38.3,44.8
Tyler Ford,66,232.0,38.9,48.2
Leon Wood,1,232.0,32.0,38.0
Robert Hussey,47,231.7,39.3,45.9
Matt Kallio,41,231.4,37.8,46.3
CJ Washington,62,231.2,38.5,46.0
Suyash Mehta,45,231.0,37.1,45.3
Mitchell Ervin,63,230.5,36.8,41.9
Aaron Smith,21,230.4,38.2,43.3
Nate Green,55,230.2,37.1,43.3
Sean Wright,48,230.2,37.0,42.8
Mark Lindsay,63,230.1,38.6,46.0
Kevin Cutler,62,230.1,36.1,41.6
J.D. Ralls,37,229.7,38.3,44.2
Phenizee Ransom,65,229.7,39.1,46.0
Scott Twardoski,52,229.5,38.3,44.7
Josh Tiven,65,229.5,35.5,40.9
Scott Foster,47,229.4,37.8,43.8
J.T. Orr,58,229.2,36.9,41.4
Kevin Scott,59,229.2,35.3,40.4
Brett Nansel,52,229.2,35.4,42.5
Sha'Rae Mitchell,42,229.0,38.3,44.5
John Goble,57,228.8,38.6,42.8
Brent Haskill,5,228.8,39.0,43.0
Gediminas Petraitis,65,228.7,38.2,44.5
Tre Maddox,56,228.6,38.4,45.2
Curtis Blair,61,228.5,37.1,43.0
Tony Brothers,54,228.5,39.0,46.7
Matt Boland,37,228.4,36.4,41.1
Marc Davis,62,228.3,35.6,41.7
Intae Hwang,43,228.2,37.5,43.7
Andy Nagy,66,228.1,39.9,46.6
Brian Forte,65,227.8,36.1,42.4
Che Flores,31,227.8,36.7,42.6
Bill Kennedy,42,227.8,37.7,44.4
Michael Smith,38,227.4,38.3,41.9
Courtney Kirkland,62,227.2,38.5,44.9
Zach Zarba,60,227.0,34.6,39.5
Derrick Collins,42,227.0,36.9,42.4
John Conley,40,226.9,38.6,46.3
Pat Fraher,65,226.8,38.6,47.2
Karl Lane,59,226.8,37.0,44.0
Derek Richardson,40,226.8,37.2,43.5
Rodney Mott,50,226.8,36.9,43.0
Ray Acosta,67,226.8,36.3,42.9
Jacyn Goble,67,226.7,35.3,42.2
James Capers,30,226.7,39.6,45.4
Sean Corbin,61,226.6,36.9,43.9
Marat Kogut,63,226.5,37.0,43.2
Jason Goldenberg,57,226.5,37.4,45.9
Evan Scott,57,226.2,36.2,41.6
Justin Van Duyne,65,226.1,36.1,42.0
Tyler Ricks,27,225.9,36.5,41.2
Jenna Reneau,6,225.8,36.7,42.5
Ben Taylor,63,225.7,37.5,40.9
Jenna Schroeder,56,225.7,36.5,43.4
Nick Buchert,66,225.7,38.9,44.5
Mousa Dagher,57,225.2,37.6,42.9
Brent Barnaky,63,225.2,35.4,41.2
Jonathan Sterling,48,225.1,38.1,44.4
Ed Malloy,61,224.9,37.0,42.6
James Williams,63,224.8,35.7,41.5
Natalie Sago,65,224.3,36.6,42.8
David Guthrie,36,224.2,35.7,41.5
Danielle Scott,48,223.5,37.1,41.4
Brandon Schwab,47,223.4,35.7,41.6
Ashley Moyer-Gleich,9,223.4,37.2,38.4
Eric Dalen,46,223.2,35.7,39.5
Dedric Taylor,19,222.9,39.6,46.7
John Butler,60,222.8,34.9,40.7
Tom Washington,41,222.1,34.6,40.1
Brandon Adair,42,219.3,35.3,41.1
Pat O'Connell,6,218.3,39.7,42.8
Tyler Mirkovich,4,213.8,43.5,55.5
Agon Abazi,2,205.0,42.5,45.0
