ref,games,avg_total,avg_fouls,avg_fta
Teresa Stuck,11,181.3,41.4,41.2
Randy Richardson,19,179.5,41.3,45.2
Kelly Broomfield,12,178.6,45.4,51.5
Isaac Barnett,19,177.5,41.5,44.9
Blanca Burns,12,177.5,44.4,50.0
Ashley Gloss,9,177.4,36.9,37.3
Roy Gulbeyan,19,177.2,44.8,48.8
Toni Patillo,17,176.5,43.3,44.5
Catherine Chang,17,175.4,44.5,47.8
Tim Greene,19,175.1,40.3,41.8
Ken Jones,14,174.9,44.6,47.5
RJ Johnson,3,174.7,48.0,54.7
Genesis Perrymond,13,174.2,41.1,46.1
Angel Kent,11,174.0,41.5,43.3
Tyler Mirkovich,18,173.3,42.7,44.3
Kevin Fahy,17,173.2,45.0,46.4
Marcy Williams,12,172.5,43.8,48.2
Sarah Williams,16,172.3,43.4,48.3
Kelsey Reynolds,17,172.0,44.1,48.5
Jason Alabanza,17,171.9,41.4,41.8
Agon Abazi,18,171.6,39.3,40.0
Gina Cross,18,171.4,42.1,44.9
Gerda Gatling,16,171.2,42.6,46.0
Tiara Cruse,14,171.2,40.9,40.2
Ryan Sassano,18,169.5,43.6,45.4
Fatou Cissoko-Stephens,13,169.5,44.5,48.9
Amy Bonner,17,169.1,40.6,42.9
Charles Watson,19,168.5,41.6,43.9
Josh Reed,14,167.6,42.4,46.5
Leah Lanie,6,165.7,39.0,41.8
Angelica Suffren,17,165.5,39.5,43.0
Clare Simmons,18,165.1,42.7,43.6
Maj Forsberg,15,164.8,39.7,41.9
Ryan Johnson,13,162.4,41.3,44.8
